TIC,period,period_err,t0,t0_err,morph,pos1_2g,pos2_2g,width1_2g,width2_2g,depth1_2g,depth2_2g,pos1_pf,pos2_pf,width1_pf,width2_pf,depth1_pf,depth2_pf,tsne_x,tsne_y,ra,dec,tmag,glon,glat,teff,logg,abun
5092088,10.125881991164704,5.8864411901282665e-05,1522.6118969599318,0.0029918406967226,0.23144814,0.9998704880274988,0.4999881111716758,0.0385391892448819,0.0387744087466439,0.3462901214692122,0.1796782830635086,1.0001863257810548,0.5005359523950875,0.0273641651259981,0.0257414077699005,0.3111565055444383,0.165815204118338,-58.24498,34.5707,142.143305941917,-37.0799911751188,12.0077,264.092091591887,10.0575200633137,7356.0,4.08422,None
5205367,3.992812643698722,0.0005205508518102,2011.5953383149667,0.0010146037993763,0.48475105,0.999701895173714,0.4999999940638968,0.1049551421750815,0.1124405199222642,0.4677449149133965,0.1590790388726752,0.9999573833043895,0.5015328029758136,0.0738326331032972,0.0721361884998615,0.4309248525896072,0.1473203612592633,-20.986311,38.241993,269.529077947035,15.1394192653426,6.6776,40.868724807503,18.4917349141836,5779.0,3.56582,None
5364915,11.144805509605192,0.0006480751943662,1524.4372518891423,0.0001808345632525,0.15928388,1.0248849990739368e-05,0.4928681621401755,0.025807117870222,0.0291248403018574,0.0289375626454816,0.0132545473326716,1.0000118052474445,0.4929062260124547,0.0177540952395666,0.0202869198645211,0.0249290022130761,0.0107448590315737,-43.99234,-16.201683,139.210217221136,-21.9544896548122,8.1175,250.922200746349,18.5895133977085,9388.0,3.53939,None
5506314,8.253917492674214,0.00471701394091,1552.39423595826,0.0025747958623014,1.0159414,nan,nan,nan,nan,nan,nan,1.0016529030198733,0.4962629015339903,0.3058605883789999,0.2583332441481245,0.0354328799269652,0.0297055304761395,58.323437,-21.842888,153.122138346394,-19.8242124127587,9.361,259.339830746037,29.2871665945629,7692.0,3.53808,None
5674169,0.3182028114730066,1.3940746692475692e-05,1790.8184290215772,1.1525138218626254e-05,0.8538728,nan,nan,nan,nan,nan,nan,0.5029464693461163,nan,0.1370292380383391,nan,0.0916420760642657,nan,76.20696,-10.291773,33.0365525496304,27.138397380605,9.34142,144.242835099343,-32.3716678365397,5960.89,4.24528,-0.410509
5703872,16.28144617416293,0.0023189036028377,1517.5175261839122,0.0075569405605619,0.16269909,0.697346153801695,nan,0.0278747668570548,nan,0.0627318952171702,nan,0.6969207128468606,0.9994026220682184,0.0172939537276498,0.0241020411340664,0.0585957150920777,0.0087497877480828,-52.804836,-2.0889592,143.360350503966,-39.365418879825,7.8812,266.396493126909,9.07086715533809,5956.0,3.74186,None
5868998,0.6356446553990469,0.000117282777821,1571.067574864849,0.1425368127879664,0.44334704,0.8332041128681463,nan,0.0983086510438412,nan,0.0312351574301851,nan,1.0601612004131125,nan,0.057318017716899,nan,0.0140677025208937,nan,-9.456022,0.6980192,187.782153783409,-23.7735638909043,13.9372,296.961584370898,38.8626327319734,3644.0,4.37169,None
5969274,1.0579672368047854,1.494492781572987e-05,1570.6868109981722,0.0093261063545924,0.5279874,0.9640547112339136,nan,0.1338589413702716,nan,0.0071769527502999,nan,0.9715741238812312,nan,0.1097697197740159,nan,0.0011195098151473,nan,23.032993,-26.546124,193.501198558516,-18.0376220238047,6.89083,303.79231622074,44.8298373339428,7929.0,3.61868,None
5981829,1.7990760070221383,4.83566706288574e-05,1571.120875760701,0.0002906114098095,0.60732615,3.601730601530863e-05,0.4999768296482724,0.1675033675143225,0.1679185044961468,0.109684419925234,0.0321702700426522,0.9998643474912932,0.4985254491296524,0.1046802439493972,0.1016792893313529,0.0875446295813453,0.0130309343377001,6.1659985,22.479399,193.685640978017,-21.3109803398389,9.0986,303.960464968821,41.5541675363241,6166.0,3.7553,None
6400274,1.2112319592832257,3.4399057995404547e-06,1656.3046179804433,2.381048761890269e-05,0.51155436,9.051956644716708e-05,0.5000004367282661,0.1194215133378646,0.1198635239744622,0.2054326518665004,0.1925182407394801,1.000112642332528,0.4999963631846404,0.0798851067749762,0.082990800489544,0.1819755230519568,0.1677090284246496,19.6839,52.43903,283.520634321405,-51.5159912552283,9.1717,344.836937265767,-21.3046371154939,6078.0,4.03826,None
6518047,1.851331928723453,0.0002996789675213,1492.5484493117033,0.0020491071165906,0.48949113,0.0422225342859094,0.5964729528480193,0.1097441360167566,0.1311634760673607,0.027476066396703,0.0274556110118698,1.041948353521794,0.5952175869226543,0.0777694807941624,0.1011248501980019,0.0311164009735301,0.0205505077417761,-2.0533605,-9.686316,112.880152978668,-6.73454379597765,12.6997,223.540152643946,5.75757197912107,3560.0,4.76771,None
6667908,14.443446408680924,0.0091763199848724,1660.802816511002,0.0107849961882493,0.2980731,0.9999427379434954,nan,0.0398234262510022,nan,0.0033054390718555,nan,0.999390951359756,nan,0.0282304711808861,nan,0.003277813725667,nan,-2.7276227,-45.0833,284.404424010798,-52.8501235162365,9.9976,343.627784319931,-22.2059211722247,6176.0,4.28212,None
7211118,1.446260879197122,1.5770817852311936e-05,1492.559937230869,3.574270112949307e-05,0.53422004,0.999973134945062,0.4999985083021048,0.1478020769052385,0.1489582238128577,0.2794966350062132,0.0775832620984562,1.0000055315830936,0.5004300302816755,0.096089949776318,0.1001254528308241,0.266160445763866,0.0654389986532191,-7.8751388,36.24725,113.777705903924,-9.09569554146276,8.86839,226.051650993605,5.41490845654344,6472.0,4.09124,None
7418947,1.0078080046891953,0.0002420900075268,1411.1837649332303,0.0022429704733638,0.732226,0.995949410200348,nan,0.3296902953328163,nan,0.0039594923868918,nan,0.9891035656349152,nan,0.1374268790359628,nan,0.0013488495625025,nan,22.389574,-3.2320979,81.0615148812922,-46.2168798600287,10.2199,252.207089599952,-33.9090087966178,5903.0,4.55077,None
7695666,17.553700894345678,0.0009331045065472,1429.2434042886318,3.960879985243082e-05,0.09344074,1.564099782607358e-05,0.1638172998039045,0.0212967790217593,0.0256503285022443,0.3718107595095911,0.33805374296527,1.000012284098394,0.1638100028095295,0.0151771539402095,0.0183693860390049,0.3508759717324348,0.3195839084341823,-66.780846,2.2439165,65.6467652008594,-41.4833695499087,10.1271,245.626297689275,-44.8512609496033,6303.0,3.85406,None
7724421,0.6405998048922625,9.402379553824504e-07,1411.2378328024506,0.0017401028771928,0.8216003,0.9997959415062936,0.5002818805379988,0.3715916103399175,0.3780896479615483,0.1244215514944371,0.0940468332740274,1.0025363039740438,0.5006070476190895,0.1673809630447713,0.1704880042655275,0.0712507402126356,0.0395196143645508,55.078587,1.6215852,66.4113597142358,-38.0594809189435,9.5443,240.833101827067,-44.2201298218883,6631.0,3.78769,None
7849727,0.9933050020804594,3.82785153574261e-08,1684.1632337386611,1.5035654541861732e-05,0.6345165,0.0009580458291196,0.5010961005167294,0.2112473079591711,0.209713273813573,0.249372704209322,0.2383326159458471,1.0009473557830988,0.5010701847651647,0.1334167709895211,0.1318669865733948,0.1969812327221602,0.1869305220263721,35.435516,40.231857,275.409674585585,42.1688029273671,9.9971,69.9243472799356,23.0563402263601,6599.91,3.84246,0.013
7851729,1.2526446377841856,3.686260792190588e-05,2009.803494920999,0.0001381055797082,0.6141194,0.9994178260235568,0.5001260284861445,0.2067043227750647,0.2002751796844848,0.3956442599224755,0.3908160400519719,0.9992734235649164,0.4998513220694,0.1226926724547181,0.12259916037058,0.3130472677324789,0.3068149645398392,32.653004,42.68516,275.25817522215,44.6451879454792,10.9806,72.4877527362022,23.8401040960815,6211.0,3.60832,None
7854182,0.8660210299263076,1.0320994130452732e-06,1983.7438280770275,1.8873156477638983e-05,0.6146146,2.7753018895705923e-05,0.5014075010062014,0.2338157880975901,0.2000939342437616,0.4320428146561916,0.126002829838168,0.9999967897932592,0.5008227672332046,0.1402366348145369,0.1321855786992693,0.3647813554701744,0.0710522672821052,15.295165,29.546896,275.548647063955,47.568878067161,9.0619,75.6413507734406,24.3914613943638,7424.0,4.15494,None
