TIC,period,period_err,t0,t0_err,morph
306130391,4.645283300221383,0.0001630020563307,1570.9042865270874,0.0002298206873092,0.40152746
220474209,0.9801495022675336,4.973449918566075e-08,1325.4029851706491,4.785650821759191e-05,0.48928347
141766191,0.373511305962128,2.464572348981342e-07,1598.355821658552,0.0892489286541149,1.0022724
279615979,0.240730689027474,1.8484816888264533e-07,1544.6109157157111,8.834196796669858e-05,0.7773789
176910080,1.8573591849366875,1.6477431290295996e-05,1571.5547930049834,0.0001472218127673,0.520151
102764828,0.6726621876666514,6.451930080864088e-06,1544.6394022798029,0.0912892584019573,0.70137393
468162834,2.6173179628392944,9.319820749587038e-05,1572.2367002462383,0.0093923426766195,0.64043677
142105466,0.4332050813785035,6.524950335595747e-07,1598.3014978843098,0.0006282907334025,0.86760676
141127435,3.2422209292942425,0.0003303775051946,1600.9864391200974,0.0076047636132443,0.8254409
57652994,4.27853012881056,8.112757756784106e-05,1570.3450696018006,3.249199107813183e-05,0.3665566
266845051,1.4697047119950917,7.841939116959296e-06,1571.2547948677936,0.0831478203756432,0.9576484
462267926,10.93998965923156,9.33172340182864e-05,1550.61487571311,0.0003050633677048,0.38914567
55524055,2.649442975373825,1.5192371378702774e-06,1325.3875062558034,0.0001524319038708,0.2692235
307433122,27.851381187405664,1.3427041473335066e-05,1364.0795302500562,0.0001338157601367,0.03122139
452500843,8.45028080936611,0.0282317187800131,1578.1808585234933,0.1009776149858225,0.7116367
349790953,1.552082086502462,2.7378192752225416e-05,1571.180338,NaN,0.4231413
150442264,2.9816875592000907,3.4751331976501376e-05,1326.9870744224968,0.0134494193800946,0.67112744
32449963,6.520490854235356,0.0001064714928897,1574.6948064248195,0.0119720665238673,0.15609795
92902951,2.246483486220586,6.986390600038916e-05,1572.8415280193103,0.000264750166707,0.58266115
467167691,0.3594030063528191,1.3440767032135703e-06,1569.773782854067,0.0039499320087088,0.93253195
415873588,3.491347630577679,1.082661408746688e-05,1572.2057153644992,4.361707851785468e-05,0.49986508
288027491,32.20826852300997,0.0001164440790262,1580.468391484379,0.0002457438292822,0.11605561
141685465,7.807422532611081,9.68633053757273e-05,1416.1994505721334,0.001415616615759,0.21962869
178859380,0.3307901909355493,6.020045928423201e-08,1570.979531869223,0.000361190122021,0.7464159
29777922,0.53059749480253,6.483529760847873e-07,1570.6002770074836,0.0001050758503424,0.87571526
55404385,2.952051320630585,2.3234695012419598e-07,1571.819040257231,3.066445697186282e-05,0.32447788
124282575,4.810394458521586,0.0001540952876739,1573.2610394849146,2.8937583010701928e-05,0.31354436
303441920,0.9176656705207048,3.6999483389310575e-06,1570.8821902360469,0.0182305471510062,0.88481367
163648025,1.7301721869877795,4.537335215992755e-06,1572.2176699757863,0.0015507100813465,0.6249465
355152971,8.076032661141015,4.989243417341527e-05,1547.5507458162244,0.0005509300688117,0.4522478
271596290,1.282474968520772,3.6597427754969665e-08,1599.2838096004605,2.351079390088292e-05,0.5757474
459809633,0.5094437961695171,4.080154319985319e-05,1570.213926481726,0.0016445202352315,0.63234365
308184924,4.12842739156182,1.3322136173776755e-05,1573.1776598412027,6.411943650164176e-05,0.31144786
167654878,0.4939027045269432,2.197050746999274e-06,1544.6062648702512,0.0001788647871308,0.9609376
1630690,0.413660519752893,1.2487833836449802e-06,1571.173452482092,6.079731565478141e-05,0.9653686
437322147,10.615121276044524,0.004392034044006,1578.7069555030964,0.003787369899328,0.31693584
124095230,10.619027949528068,1.2029113072742348e-05,1567.9799427292628,0.0005717628988113,0.15850493
452631268,22.12246598843298,7.591430473041783e-05,1577.3388109402906,6.821072770435421e-05,0.025307566
370101325,0.5090886139089256,2.1615051225554183e-06,1544.3038953523958,0.0005224109127084,0.89705753
350480660,4.463823547607872,9.30068206450585e-07,1386.352604131018,0.0002417414289084,0.30175924
300871545,4.8170762379825165,4.420193301157838e-06,1327.375880530903,0.000136858551059,0.19724031
219699532,1.081090092104129,5.493816738155744e-05,1571.469284131504,0.000902213998188,0.594007
309658221,7.594988736454042,2.8242453177007576e-05,1334.8251877585678,0.0005490667251706,0.24681807
