TIC,pos1_2g,pos2_2g,width1_2g,width2_2g,depth1_2g,depth2_2g,pos1_pf,pos2_pf,width1_pf,width2_pf,depth1_pf,depth2_pf
396720998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
398673007,0.9902522666379071,0.4968372755657689,0.287324651984254,0.345100623242247,0.2466161716894263,0.2340052628342613,0.9910065183683794,0.4933939778397281,0.1090243928803275,0.1666742959540885,0.1112595969939943,0.0997849771467863
423358373,0.0010545091293688,0.5040184261903566,0.3204312120488987,0.3004935027678891,0.2213991210918633,0.2020752280240945,1.0012482299188836,0.5023578649440849,0.1311395840430285,0.1717300122384724,0.114578588418815,0.093597260000892
439458951,NaN,NaN,NaN,NaN,NaN,NaN,0.9999307768013151,0.4950847335153472,0.1659822771813037,0.2023218841344325,0.0171518275629671,0.0166890284124778
1045298,0.9980544098150531,0.4969178518755018,0.2415256855183995,0.2382361233091084,0.2530059144536102,0.2487368734767842,0.9971593699688864,0.4966566097683998,0.1480897458425653,0.1486468765712544,0.1977357316568297,0.1928404093732509
7724421,0.9997959415062937,0.5002818805379988,0.3715916103399175,0.3780896479615483,0.1244215514944371,0.0940468332740274,1.0025363039740438,0.5006070476190895,0.1673809630447713,0.1704880042655275,0.0712507402126356,0.0395196143645508
9845586,0.9952557081725589,0.5000003944023512,0.2641001939746676,0.2496538865459458,0.4628653655020058,0.445515700018683,0.4949441790274287,NaN,0.1031944325286441,NaN,0.1980678393390484,NaN
9945183,0.00020531893583,0.5001558776684518,0.1587563240061573,0.1567927851590223,0.6906065489818636,0.1481500145029812,0.9940108875871556,0.49476915343564,0.1083181667181943,0.0989374105679775,0.6029129620921658,0.1011390540837346
12632044,NaN,NaN,NaN,NaN,NaN,NaN,1.0023204429072758,NaN,0.2996107397262513,NaN,0.0530050190763977,NaN
23139612,0.0004102909950566,0.4999951226179836,0.2718989499194673,0.2764679163964564,0.2014361277466801,0.1965195733482071,1.0003326469759184,0.5005973404696783,0.1089003456601027,0.1176564170513519,0.0734741044884385,0.0702454760441303
23221002,0.0003810981365479,0.500000358871601,0.3130617582672932,0.2793613194131362,0.34832995342471,0.3162504273742854,0.9991761862640536,NaN,0.088275412724637,NaN,0.0876103673986286,NaN
25195864,0.0004468155308202,0.500184838112073,0.2262870340996081,0.185858266039544,0.0577481099576577,0.0447208645632614,1.0000513254946437,0.5003554519798844,0.0957873621509836,0.1153583980654702,0.0274931672373119,0.0152176419778335
30028394,0.9992582419511459,0.5010685365523956,0.3025161205099118,0.2483790882629162,0.1495259300767943,0.1391744710442816,0.9992273574945028,0.500704729712256,0.1998043508556187,0.2113587200989383,0.1117605033878981,0.1015579374514661
35744707,0.0007664886006152,0.4968148715224432,0.2960565632468287,0.266880667663503,0.4144987565242564,0.3225856298840553,0.9892818499440376,NaN,0.0804999558133363,NaN,0.1186189429616959,NaN
36729364,NaN,NaN,NaN,NaN,NaN,NaN,0.9994624791517346,0.4919107169204831,0.1652441229435142,0.1630163713407271,0.1649334555211146,0.1335457065384595
36883123,0.0002634153569429,0.5000074384286763,0.2826319909159308,0.2800708134606317,0.096291029512242,0.0884488480790069,0.9993748893948058,0.4994179959959987,0.1299614764808057,0.1135994165344513,0.0453331768665005,0.0380289952910725
38399380,0.9985739994776472,0.4992421436686858,0.3929795216966897,0.3115574162021748,0.3745771388992727,0.2679328738250411,0.9988246646888064,NaN,0.0861503068917084,NaN,0.0863366532889671,NaN
38541473,0.999600978198108,NaN,0.0231265469387523,NaN,0.0190452644764663,NaN,0.9995574348152316,NaN,0.0155864948319609,NaN,0.0141787999832861,NaN
44737596,0.0027283027485393,NaN,0.0469957703069635,NaN,0.0258820888721514,NaN,1.0023558513449442,NaN,0.0232321689658085,NaN,0.0063885194455686,NaN
44790502,0.9994998179151297,0.4999995279266525,0.3338369564663324,0.3700726711748293,0.385754054043274,0.1314251907487491,0.999815010732953,0.5008163070933265,0.1795045544445048,0.2323956799796733,0.3109704887221607,0.0594122651040971
44797681,NaN,NaN,NaN,NaN,NaN,NaN,1.0039359756630664,0.505695385018392,0.2619002766097611,0.2316877808683797,0.0377331329342165,0.0238166051016074
49799894,NaN,NaN,NaN,NaN,NaN,NaN,1.0028014443652236,0.508049677885444,0.2703257868044072,0.2654812090326999,0.0659934191747162,0.0403306894388613
65348716,0.9980682018027284,0.5038537848907957,0.3540492280076254,0.2874179744417436,0.2098337952870327,0.0947538476553484,0.5033345730861163,NaN,0.2185438230018811,NaN,0.0765636630432917,NaN
66573768,NaN,NaN,NaN,NaN,NaN,NaN,0.9996668479277102,NaN,0.1270357378353044,NaN,0.0517169734408833,NaN
89239251,0.0019384641039894,0.4973654219794525,0.2713459439016452,0.2824366159416698,0.1756727481796596,0.1564054718350803,1.0010166131271745,0.4998845708807899,0.1348850286872231,0.1576920762642251,0.0888424908283231,0.067952525162948
92234970,0.0021451628795492,0.5000016605988808,0.2658472605935053,0.2378871433415041,0.4138617511425252,0.2299231305274675,1.0002734709895702,0.4966907781573026,0.1558750471224297,0.1441664838242757,0.3242458625852545,0.1514218456894654
98828631,0.00044837302491,0.4999998336436342,0.3378467250432685,0.284760136189084,0.1800968183024535,0.1527060449074966,1.0011205036596629,0.5020535132038457,0.1322202082338247,0.1602667014808063,0.0912459716602878,0.0602323242853242
101070833,0.0010345399263892,0.4999994631653544,0.3145513130638373,0.3282125934984752,0.3879012111668356,0.2050538253337683,1.001023901964899,0.5007367582230478,0.1666375587115469,0.128463405258933,0.2537766471873296,0.0757956735866328
120956236,0.9999449583925308,0.4999979242310661,0.33083799554744,0.3053885422551168,0.4377320351145155,0.4082721656599744,0.999838567359547,0.500093096162806,0.162987381180932,0.1417114701558166,0.2569117329886454,0.2296542168528477
