TIC,bjd0,bjd0_uncert,period,period_uncert,morph,morph_dist,ra,dec,tmag,glon,glat,teff,logg,abun
77468221,1627.664748,0.706527749,0.70259974,0.000142702,0.741291567,0.015703402,238.9790986,-28.45689427,11.0209,345.006481,18.97091866,4976,4.52829,NaN
105992935,1544.870744,0.46398949,0.706094598,0.000626815,0.841634437,0.024959932,157.4515331,-40.10083049,12.2582,275.6018219,15.13764723,6217.2,4.1273,-0.68
352951628,1739.445535,0.706479241,0.707069371,1.60E-05,0.859603821,0.000349282,313.9234914,62.74317626,9.55447,99.35483169,11.24674515,7135,4.14276,NaN
169814134,1684.24403,0.707406042,0.707846486,1.42E-06,0.983870952,0.000557756,297.6400819,40.23608457,11.1308,74.89197249,6.961834774,6872.46,3.76426,0.34937
12631605,1411.4535,0.194814745,0.708799439,7.13E-06,0.653412248,0.003123954,53.1162114,-6.972200733,10.1923,192.6235937,-46.84687985,5514,4.4478,NaN
126602778,1325.36722,0.711549821,0.712115117,4.77E-06,0.855198864,0.000671555,314.5087578,-46.06677102,10.8078,354.1296729,-40.72167203,7454,4.0993,NaN
298700310,1544.665164,0.714436704,0.713050891,3.85E-05,0.902383045,0.000981527,143.0101978,-50.97944591,10.2357,274.1650738,0.403465633,4231,4.32422,NaN
1129452,1412.166371,0.668353941,0.714018128,7.05E-06,0.917903287,0.004237785,37.16530466,-9.595952761,8.5415,180.147874,-61.13550154,6863,3.97124,NaN
99646802,1326.1898,0.71921791,0.715554818,3.35E-06,0.900515499,0.002201575,321.2357719,-21.65250863,9.5943,27.81279321,-42.98335705,6617,3.58449,NaN
156414921,1817.32525,0.711299934,0.715766222,9.24E-05,0.906150244,0.002741167,71.13746731,39.87547951,7.81636,163.7948741,-3.82939404,6704.72,3.84766,0.103
15613315,1765.550585,0.715722738,0.716631835,1.33E-06,0.891448614,0.000729283,16.30170246,27.76754104,9.6207,126.6507943,-35.00476415,7288.27,4.02514,0.00980488
67813700,1930.511586,0.708585012,0.717365717,4.89E-05,0.847800319,0.011828081,227.4304359,34.78570612,11.4904,56.09448791,59.54370747,5819.14,4.31109,0.170599
161563111,1683.994837,0.716905642,0.717768409,1.06E-06,0.897445596,0.000740925,309.3338679,35.43619182,8.56885,75.99618644,-3.375697654,9267,3.9165,NaN
55339898,1843.845067,0.720377184,0.7196592,8.23E-06,0.683592908,0.008199984,96.67417277,64.09089328,8.86805,150.7869437,21.6079132,5946,4.34151,NaN
167005326,1598.87882,0.365022756,0.720408241,3.05E-06,0.885308239,0.004491159,94.9935627,-69.96771882,12.2503,280.3216384,-28.042026,7028.57,4.19814,-0.527314
122285268,1600.759049,0.000510262,0.720931407,2.53E-05,0.878819362,0.003335955,227.325504,-38.9386,9.504,330.261411,16.508295,NaN,NaN,NaN
129888462,1411.623202,0.72069097,0.722394519,2.99E-05,0.671832443,0.001425407,56.05431075,-41.27968189,8.5508,246.1891205,-52.03827478,6658,4.27412,NaN
279156705,1492.53665,0.721388297,0.722874893,6.58E-08,0.99607501,0.000109089,103.1120503,-55.41090073,11.0357,265.2064179,-21.91056953,6943.87,3.88145,-0.630455
144149848,2141.803006,0.359818766,0.723387303,4.71E-06,0.853963842,0.027823881,60.74344442,-44.39217271,7.5241,250.2521072,-48.20080178,5875.33,4.11824,NaN
210116141,1684.874612,0.729093395,0.724345857,0.000249752,0.850984603,0.007139412,307.046456,23.36262012,13.8123,64.9884767,-8.854538137,3262,4.97843,NaN
141525324,1821.887602,0.725208446,0.724892455,6.18E-06,0.664731835,0.006972341,102.2467328,79.95231901,10.0878,134.1802882,26.57249601,6108,4.27593,NaN
143318403,1492.864745,0.722856565,0.725252241,8.16E-05,0.831789443,0.008693755,124.9786674,-23.21979431,14.3605,243.7893994,7.365073073,6318,NaN,NaN
356192212,1984.590981,0.726739532,0.727331674,1.36E-06,0.902285718,0.004357454,259.1750043,21.38495715,10.3456,43.16653592,29.94447223,7090.47,3.93339,-0.35
220521199,1326.143602,0.727806866,0.728849982,1.53E-07,0.817574273,0.001045014,42.00469775,-62.9641185,7.6334,283.0367892,-49.41816416,6473,4.10596,NaN
405034090,1492.454265,0.715014939,0.729501671,1.77E-05,0.923457733,0.003089887,113.2500247,-13.82736073,12.6271,229.9625761,2.687292859,NaN,NaN,NaN
128344724,1738.788791,0.760471427,0.730005945,3.66E-05,0.899611774,0.011705103,338.4746999,36.79994944,7.87101,94.47726572,-18.35915974,7622,4.04216,NaN
394179296,1683.54211,0.730181206,0.730950277,2.29E-05,0.885726768,0.000410248,289.7747895,38.36679245,11.2531,70.34875215,11.47906017,6826.25,4.02091,0.032
37601240,1468.829246,0.726964583,0.731375572,3.64E-06,0.736721173,0.001435376,93.15521509,-25.26873526,8.96371,232.1311819,-19.28744877,7588,4.23826,NaN
122712115,1684.882874,1.091860222,0.731494212,2.00E-05,0.964947467,0.00213349,291.0714071,40.91698528,11.4928,73.13609824,11.68862361,7554.05,3.86549,-0.023
322078735,1570.172124,0.746512773,0.731603716,9.87E-06,0.810992374,0.014854912,175.6056156,-62.47707605,8.5258,295.0534808,-0.665720434,NaN,NaN,NaN
61386324,1764.778088,0.457637807,0.731850943,9.85E-05,0.899314565,0.013246851,24.21163409,33.65991798,8.34926,133.6523068,-28.26480551,7735,4.19111,NaN
229538190,1843.409284,0.800633721,0.732598417,4.77E-06,0.910594855,0.007679631,221.7923752,76.04225964,7.1933,114.2862588,39.07944039,7815,4.22579,NaN
164646288,1684.325903,0.733469347,0.73373614,5.38E-08,0.881329749,0.000816129,283.9097468,42.13101079,10.5013,72.06152137,17.08491788,7448,4.1086,NaN
307216760,1570.850172,0.726702912,0.734005119,1.15E-07,0.899698027,0.008575828,124.7512791,-69.06140223,10.4862,282.5389858,-17.89568423,7065,3.77337,NaN
332064670,1871.417837,0.721453876,0.73651718,0.000213108,0.801717759,0.011800481,133.1492139,28.33082136,5.2058,196.7946527,37.69889836,5250,4.42459,0.35
452172479,1571.108288,0.697955657,0.738527576,0.000302815,0.883253386,0.017177155,173.8091144,-55.90174431,12.6258,292.3408584,5.395135081,3634,4.7671,NaN
352954787,1765.592138,0.738053965,0.738593672,6.18E-06,0.882245456,0.009054312,314.0392461,65.17536334,9.9129,101.3241757,12.73248078,6120,NaN,NaN
325412896,1325.852855,0.743935821,0.738679257,1.52E-05,0.776606382,0.000719402,346.3333598,-78.56495091,9.4251,309.3154,-37.21477849,6679,3.93876,NaN
185059488,1694.149101,0.740057205,0.739742823,4.40E-06,0.705517708,0.003594776,301.0482517,44.60300688,11.2189,79.9680435,7.030095641,6600.86,NaN,-0.134
423387084,1411.372785,0.739900491,0.740844685,1.37E-06,0.892628717,0.001065167,29.02625214,-0.73894161,10.7608,156.0714815,-59.38439147,6550,NaN,NaN
278895603,1545.922263,0.741723239,0.740950547,1.52E-06,0.90057541,0.003005839,101.0779507,-55.45361049,9.8577,264.914502,-23.03348211,6736.94,3.74632,-0.550612
53896096,1326.043142,0.735204097,0.741049777,6.71E-06,0.892012916,0.000271335,328.2388153,-24.79796966,11.7013,25.90042628,-50.02343194,8091,4.26342,NaN
428003183,1738.70934,0.74172221,0.742575288,8.22E-07,0.802270203,0.00168258,349.2207982,44.48844801,10.7131,105.6898736,-15.19462012,7345,4.04775,NaN
275119073,1712.699629,0.741213199,0.743029815,1.53E-05,0.866921379,0.009433621,323.2058568,40.60932081,9.24631,87.17126666,-8.083752125,8227,3.88505,NaN
152825521,1326.290818,0.741923307,0.743139818,7.94E-06,0.752173154,0.002121518,344.5696278,-41.82617867,9.9152,353.1257867,-62.63121429,5350,4.22767,NaN
25195864,1412.216067,0.74282088,0.743596845,5.69E-08,0.902431959,0.001381598,63.75356356,-69.53667401,10.4614,282.6289875,-38.5697669,7522.71,3.72312,-0.450065
79328890,1546.933864,0.7234232,0.744051042,2.36E-05,0.881096328,0.006782005,319.5308555,-51.78576859,11.5085,346.0000798,-43.39860508,5134,4.51917,NaN
309402205,1545.586637,0.745334578,0.744417145,7.34E-06,0.901385707,0.001211051,124.813278,-65.18751103,10.9557,279.0571674,-15.91792268,5935,3.79781,NaN
424461577,1712.10272,0.744099025,0.744823454,1.23E-07,0.890344091,0.00100223,279.7342719,60.39817701,10.1535,90.00178525,24.86212159,6475,3.83779,NaN
299156852,1712.640646,0.743313649,0.745096849,2.68E-06,0.90001782,0.001278454,289.1585382,48.09717072,8.81652,79.27911051,15.91214454,7489,3.97632,NaN
156169159,1683.852653,0.745148565,0.745215955,2.34E-06,0.859453851,0.000878344,173.3207684,78.32384383,9.7806,127.8623967,38.04585614,6535,4.38681,NaN
77703308,1439.357617,0.000285975,0.746258366,1.10E-06,0.66266256,0.007754494,76.51621345,-35.15312462,10.9313,238.2725092,-35.8341088,5139,4.29234,NaN
184176428,1518.428397,0.745892933,0.746829183,3.74E-05,0.872398833,0.003965883,126.7454422,-39.03209572,9.1835,257.6740641,-0.413904761,5446,4.55126,NaN
222945452,1628.898242,0.7189263,0.748223188,3.14E-05,0.856425515,0.028430646,245.890483,-44.117953,9.625,338.022116,3.831004,NaN,NaN,NaN
298541138,1986.346215,0.748294359,0.749057145,7.33E-07,0.855966757,0.000334378,261.747176,24.69655723,11.3358,47.64941796,28.80075841,7605,4.12174,NaN
281498280,1326.224877,0.7502421,0.750626293,7.19E-06,0.259408493,0.002697231,6.358853257,-55.4782818,11.8879,310.6003606,-61.26113924,3268,4.81164,NaN
273571987,2063.087975,0.751557092,0.751478018,2.19E-05,0.577926864,0.003484791,357.4165623,-75.33562851,15.2306,308.069715,-41.17050879,3416,4.78035,NaN
428186617,1738.902976,0.751238771,0.751609833,1.73E-06,0.808833033,0.017632723,336.4269002,57.6987287,10.7321,104.4290864,0.159643463,3967,4.63806,NaN
410359089,1546.364921,0.818788515,0.752348528,2.82E-05,0.911358347,0.004881898,150.6543429,-20.42402511,6.62785,257.8203616,27.30246421,7898,3.91394,NaN
200363295,1411.473853,0.735786396,0.753181607,5.03E-06,0.653179205,0.00027301,77.06749255,-44.81775167,8.9343,250.2334475,-36.59041092,5257,4.51315,NaN
211412634,1325.515616,0.746732462,0.753569964,5.72E-06,0.960884923,0.000595448,321.9168273,-31.79558615,7.4796,14.12801701,-45.7973822,6821,3.75288,NaN
184739277,1792.086409,0.000303792,0.753665201,2.03E-06,0.652246805,0.002057431,33.3256414,37.01705834,10.8912,140.5917237,-23.03138659,6716.64,NaN,-0.042
219310882,1545.780386,0.746707969,0.754220451,6.60E-05,0.799500395,0.016492581,171.6331216,-21.45751699,13.2409,277.8876512,37.25071637,5368,4.18505,NaN
200792606,1791.627836,0.753892668,0.754509883,3.91E-06,0.465096986,0.00178333,53.74058149,39.55518188,10.3201,154.151863,-13.20453875,5879,4.37762,NaN
115443990,1354.586227,0.751107833,0.75534325,3.38E-06,0.741705291,0.002531533,6.728751101,-39.88198404,8.6149,323.1301575,-76.269291,7154,4.15679,NaN
312907176,1598.21804,0.72980209,0.757941838,7.93E-06,0.756030128,0.009505536,182.9155538,-68.8250698,13.0076,299.3344135,-6.231603994,3260,5.00956,NaN
288312840,1684.263437,0.410710346,0.759241831,3.22E-06,0.779877716,0.044581433,262.6638554,78.93121144,10.3514,110.86991,30.43024304,4525,4.53854,NaN
219403686,1469.341781,0.757335667,0.760245118,0.000142029,0.784655883,0.016872117,78.41014223,-49.35409728,9.9909,255.9004055,-35.86786967,5883,4.32425,NaN
278075650,1711.964367,0.759758312,0.760353752,3.56E-06,0.888135883,0.001045585,324.4640598,48.40352524,12.1362,93.12572487,-2.941176254,5931,4.12311,NaN
469460566,1712.548182,0.760563521,0.761241684,6.70E-06,0.677283206,0.005361268,307.8880079,59.1748647,11.1113,94.65448504,11.45683411,4936,NaN,NaN
63623869,1792.684122,0.761743124,0.763128195,8.57E-06,0.632416121,0.00152739,32.68570651,34.93795866,11.7636,140.8221844,-25.16364208,5490,4.33988,NaN
14091704,1438.418202,0.761388515,0.765060381,0.00012197,0.627869519,0.004621895,77.32346007,-36.59096644,9.1577,240.1547436,-35.44012529,6240.9,4.08721,-0.38
394099697,1597.30906,1.137019467,0.765295662,0.000105723,0.848279651,0.009762517,198.5226972,-76.72042159,14.8725,304.2700101,-13.90756349,3001,5.11666,NaN
167123437,1571.314742,0.766830406,0.767151062,1.95E-06,0.62858889,0.000681597,96.37595911,-65.95467524,14.7187,275.8502953,-27.21706213,4986,4.63261,NaN
166606391,2037.075496,0.385696999,0.767314756,7.01E-05,0.830260122,0.019205163,313.3580463,-49.38289868,8.2962,349.8315621,-39.80475395,6331,4.39137,NaN
160081043,1355.557558,0.768556496,0.76870189,2.30E-07,0.809013336,0.000802306,352.0531716,-39.92325103,12.9518,351.0497782,-68.53764667,7800,4.35515,NaN
456263109,1843.597816,0.770498886,0.771348433,1.25E-05,0.844576782,1.27E-05,101.8700328,69.62910426,8.2434,145.5089437,24.96827596,9643,4.0468,NaN
29914747,1545.631694,0.771417211,0.771366367,1.76E-05,0.875232277,0.001597065,166.2342223,-36.55512998,9.6448,280.1587399,21.56271788,5338,4.49278,NaN
92234970,1412.089763,0.769847674,0.771977741,5.65E-05,0.886140592,0.000241875,49.05018299,-22.09189433,11.9707,212.2755711,-56.82766823,5781,3.97117,NaN
453059861,1519.474403,0.771569602,0.772053684,9.42E-07,0.803189689,0.032217872,145.8635847,2.627533123,6.97466,233.2073565,38.84991755,6256,3.64752,NaN
14842303,1712.526283,0.772530248,0.772595872,2.66E-06,0.89426863,0.00099165,306.3776359,37.42998015,10.3501,76.20101527,-0.279196907,6746,3.95046,NaN
158794976,1683.626931,0.184186852,0.772812037,1.34E-05,0.899689145,0.001120896,288.7183568,42.50228431,9.9366,73.84617017,13.95107836,7510,4.0154,NaN
258351350,1931.520193,0.772075439,0.772945623,1.88E-07,0.731062084,0.001400073,296.5105835,69.91916705,7.93515,102.0122649,20.86370308,8015,4.0584,NaN
470444880,1817.167882,0.010182502,0.773276468,0.000240982,0.715279676,0.034591252,66.06557099,52.16962113,15.2942,152.3658532,1.903571015,NaN,NaN,NaN
219739347,1931.363538,0.772999986,0.773520853,7.49E-06,0.478632623,0.0023874,241.8392286,61.92008487,12.9201,94.07087857,42.62979167,3483,4.66033,NaN
365089053,1931.11833,0.776684158,0.77561223,5.48E-05,0.899587191,0.00689164,202.4461849,1.095347829,6.2867,323.987382,62.38910515,7132,3.86775,NaN
